artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Saib,3IAz52hZe7Dt01KzN0NzrZ,Casino,0.133,0.627,174246,0.6809999999999999,0.11699999999999999,5,0.36700000000000005,-7.865,1,0.52,174.015,4,0.757,29
The National Parks,7us8VedD7xHqG5YYnJ7xtx,Currents,0.0248,0.599,204338,0.777,0.000246,4,0.0823,-6.856,1,0.0542,146.064,4,0.466,23
Mary Chapin Carpenter,2Z2aTZOyl3mBrxDfCZDZR8,Rhythm of the Blues,0.59,0.682,239460,0.305,0.0586,7,0.126,-17.328,1,0.0343,99.25399999999999,4,0.38299999999999995,18
Shoshana Bean,31q2GRuLAjDCIaQgiXCB8p,All to Me,0.455,0.402,446240,0.29100000000000004,4.12e-06,5,0.0949,-7.902,1,0.0272,103.574,3,0.158,29
Jarabe De Palo,4DhI5Mf2dq5tNqxOgFElMf,Amanecí En Tus Brazos,0.0251,0.612,187173,0.563,0.0,7,0.11199999999999999,-5.461,1,0.0268,120.956,4,0.511,39
tyDi,72lfG6OL9bMePgWsvx660P,You Don't Love Me,0.0728,0.581,253636,0.665,3.09e-05,0,0.20800000000000002,-6.686,0,0.0428,110.044,4,0.223,15
Cassie Marin,1n1cupCxqoa1xi91jVCe3U,Candy,0.179,0.7140000000000001,243334,0.395,0.523,1,0.358,-10.522,0,0.0355,90.008,4,0.122,15
Capital City Music,2EPXeevTuk19dsHo8M0cUk,Unto the Lamb (Spontaneous) [feat. Jacob Cantrell],0.165,0.344,329454,0.5710000000000001,0.0,10,0.142,-8.062999999999999,1,0.0403,143.668,4,0.131,30
M Kingson,2afxDNCYTORr0zgJ85AjDY,Feeling Good,0.271,0.8,202633,0.662,9.209999999999999e-05,1,0.0951,-7.683,1,0.0465,130.05100000000002,4,0.846,9
Renée,4d2yfwU6UkyXSLxpssAtXk,Cage,0.113,0.5670000000000001,222383,0.74,0.0,8,0.14,-4.122,0,0.0411,117.926,4,0.295,12
Negative Gemini,3RvsmGAA83slwsbloigR4k,Skydiver,0.258,0.107,276000,0.495,0.807,6,0.0786,-7.528,1,0.0317,168.418,4,0.17600000000000002,20
Grupo Extra,32TiTHQAv39pZWMJ636ydB,Mia - Bachata Version,0.14,0.8240000000000001,204290,0.7120000000000001,0.0,6,0.0597,-4.39,1,0.0426,131.985,4,0.85,34
Los 4,47tLY1WL7UshZ9Wc7oelw8,Te Vas,0.386,0.742,254635,0.919,5.43e-06,5,0.183,-5.997999999999999,1,0.0504,100.04899999999999,4,0.8640000000000001,32
Feeki,1OjbEupXermTpI6vFjefMU,Difference,0.0892,0.726,161323,0.637,0.0,0,0.20800000000000002,-5.635,0,0.134,140.016,4,0.114,17
Jason Charles Miller,7al55tTdgwtN9E406N8XFF,Critical Role Too,0.000529,0.522,73875,0.8029999999999999,0.609,0,0.145,-10.67,1,0.031,130.028,4,0.777,28
Mary Chapin Carpenter,50i6WxHLUEKJACbBn3s2D4,This Shirt,0.648,0.489,302418,0.22699999999999998,0.125,2,0.165,-18.495,1,0.045,139.881,4,0.23399999999999999,24
Michael McDonald,02OF4xeWjQU82KVkK91mze,It Keeps You Runnin' - Live,0.0351,0.531,312200,0.713,6.92e-05,0,0.987,-9.867,1,0.0841,80.021,4,0.581,28
Acid Dad,42Oyptg7xNazYp8mxek8DZ,Come Outside,0.0719,0.626,239994,0.7559999999999999,0.000383,4,0.115,-5.2410000000000005,1,0.0287,121.071,4,0.833,21
Utopia Finite,5H0siiKxsUkz5JwApNI7qV,Unreal,0.0376,0.5710000000000001,88714,0.408,0.909,7,0.127,-16.673,1,0.0646,147.634,4,0.5329999999999999,0
Utopia Finite,2aSyUVJwOuGFWQkBrAesF4,Hawk,0.894,0.428,135625,0.43,0.0697,7,0.452,-14.470999999999998,0,0.105,131.731,4,0.929,12
Harry Brown,0vBsXjNwfSL9XEtdQFgruD,Silent Killer,0.122,0.445,267102,0.523,0.0,6,0.114,-8.531,0,0.115,87.699,4,0.29600000000000004,35
Xodeviousox,6lmfMGCc1QECoiuu2YBqB8,Gangsta,0.191,0.621,241209,0.899,0.0,5,0.11,-2.95,0,0.221,152.114,4,0.736,18
Thunderstorms,6KiRclpNwLQuhzkKSBNWY1,Storm Sound 8-10,0.505,0.231,60000,0.57,0.773,1,0.125,-26.021,1,0.0503,106.851,4,0.0385,0
LilCJ Kasino,3wkNHXJaCIEZL9kKBJMXFb,Pure,0.239,0.8029999999999999,199130,0.72,0.0,1,0.0796,-5.928,0,0.326,140.066,4,0.6970000000000001,17
StackUpGang,5b5YaFFob0NiT7lNUW7mRX,Got Em Pills,0.0137,0.525,99866,0.506,0.995,8,0.0473,-10.029,0,0.0943,138.507,3,0.149,0
Ludwig van Beethoven,4Xshbpa06Yjjy35F5FRXlC,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathetique"": I. Grave - Allegro di molto e con brio",0.991,0.337,557393,0.171,0.9,0,0.0807,-22.059,0,0.0504,156.22299999999998,4,0.0812,17
Ludwig van Beethoven,45PBS58Y6ttpeTq1WHxM5S,"Piano Sonata No. 8 in C Minor, Op. 13 ""Pathetique"": II. Adagio cantabile",0.995,0.226,314974,0.00343,0.912,8,0.10400000000000001,-38.589,1,0.0452,64.181,4,0.10400000000000001,17
Marca Registrada,7KeRXo6sVwgtjJbdMEPX1O,El Nayarita,0.54,0.725,220453,0.8370000000000001,0.0,10,0.122,-5.987,1,0.127,109.971,3,0.82,32
Kynx,0nrOeui58FSyoipqUgMXP5,Badda Than,0.353,0.863,188657,0.713,5.34e-06,11,0.313,-5.6579999999999995,0,0.0483,108.959,4,0.887,29
Onra,28bMDms8Uh6cBPJMeBWec4,Wait A Minute,0.315,0.47100000000000003,90343,0.498,0.00485,0,0.365,-9.35,0,0.0889,171.81799999999998,4,0.6779999999999999,27
Big Evil Toes,1xBv2UL9pZt9QskIMX8nSe,Jester Sauce,0.0276,0.6920000000000001,94563,0.43200000000000005,0.8140000000000001,8,0.174,-17.525,1,0.0634,120.027,4,0.9329999999999999,0
Strick,0Lav3mtSegjJgm8GnRh4QA,Love Lost (feat. Young Thug),0.0693,0.7809999999999999,233627,0.698,0.0011,2,0.156,-5.297000000000001,1,0.185,75.008,4,0.42,17
Vian Izak,45yRyfAp3766SgpsOHqUnL,The Astronaut - Live 2017,0.884,0.37,213223,0.299,0.0,11,0.6970000000000001,-9.372,1,0.0332,152.935,4,0.424,4
David Benjamin,1kbp6nfmdzdY9cEdEzuK4Q,Until The Morninglight,0.757,0.852,188494,0.43700000000000006,0.000298,1,0.106,-9.425,0,0.0478,103.969,4,0.657,45
Night Verses,41OxxUgH3XEbcCTTBgA2QB,Vantablonde,0.00277,0.5539999999999999,151156,0.855,0.885,8,0.49200000000000005,-6.575,1,0.0389,124.98,3,0.531,12
Heilung,4S5WMecSjb2FaqCV6YuvYO,Opening Ceremony,0.802,0.406,56867,0.612,0.0,0,0.9790000000000001,-23.456999999999997,1,0.265,140.35,1,0.0381,26
Danny Gokey,0EvQ7s6L2Z7eq5z8r1yRhK,Masterpiece - Radio Version,0.11900000000000001,0.519,254001,0.5589999999999999,0.0,2,0.0754,-6.7860000000000005,1,0.0288,111.001,4,0.0987,22
Skyzoo,3649B5jO1svxwLbiR6Kh58,Collateral (feat. Jake&Papa),0.893,0.45,278268,0.748,0.0,0,0.32299999999999995,-6.127999999999999,1,0.309,170.94,4,0.743,17
Your Old Droog,70JVvOslTfTznhoK3SL03y,Cement 4s,0.006940000000000001,0.27699999999999997,180477,0.833,0.0,2,0.0717,-0.998,1,0.10400000000000001,153.21200000000002,4,0.252,17
Seranation,7wUULZPj7y622Kfyj64NCU,Will to Survive,0.0137,0.65,200600,0.601,0.0,3,0.052000000000000005,-5.525,1,0.24,175.80599999999998,4,0.752,15
Oudies,7tPZd1hZZNtfgUKzo2IdRQ,Esperando Milagos,0.0435,0.584,85054,0.43700000000000006,0.00481,11,0.214,-9.937000000000001,1,0.0528,85.037,4,0.193,10
Grupo Los Kiero de Edgar Zacary,1otwbkvWLSKyAqGILz1Qfg,La Cumbia de las Tres Cruces,0.004520000000000001,0.644,244147,0.617,0.0426,9,0.098,-7.892,0,0.0708,184.065,4,0.8059999999999999,31
Orquesta Akokán,4Aa0dRbNDMBgkNCqdtmt9m,Yo Soy para Tí,0.84,0.589,314240,0.574,5.17e-05,0,0.193,-5.6579999999999995,1,0.0399,138.593,4,0.8490000000000001,18
Quentin Cheatham,3zh8XqPXDJI6tQ2JmwOc47,Cookies & Cream,0.0275,0.682,204000,0.526,2.37e-06,3,0.13699999999999998,-6.96,0,0.0633,119.91799999999999,4,0.34700000000000003,0
GARNiDELiA,5WPjMN7nxk2HqcPfewseyz,Anymore,0.0315,0.585,243320,0.9570000000000001,0.000521,6,0.179,-2.381,0,0.0431,140.00799999999998,4,0.43700000000000006,26
Erised,3hXIPEtfeAbEniRC2YqqlF,Daisy Child,0.44799999999999995,0.377,240027,0.139,4.14e-05,7,0.259,-12.959000000000001,1,0.0369,124.152,3,0.212,22
oofoe,6divLFNUMc3SIBOMW0XLiN,cinnamon,0.937,0.759,91858,0.0751,0.932,11,0.168,-14.77,1,0.0662,85.11399999999999,4,0.685,35
Johnny Word,71rVdAvuMuHTYhxBqx4Xm4,Repeat,0.36200000000000004,0.775,189441,0.703,0.0,8,0.106,-4.973,1,0.0656,75.98,4,0.735,23
Estrellas de la Kumbia,6Ewa6JS9JuFNsgo6xQt5Zc,No Quiero Nada de Ti,0.16899999999999998,0.752,155573,0.909,0.0647,2,0.0535,-3.9,0,0.0576,176.046,4,0.873,23
Not Your Dope,1lse4SpNb0bI9pJ9nYvTuT,Indestructible (feat. MAX),0.0389,0.598,222000,0.727,2.45e-06,4,0.0903,-5.343999999999999,0,0.0515,160.088,4,0.43,26
Childish Gambino,4Rvht5RxIUUwpByQ45jked,Redbone,0.276,0.7020000000000001,325040,0.48,0.0011,1,0.10400000000000001,-5.847,1,0.0865,160.072,4,0.5379999999999999,8
Francisco El Gallo Elizalde,781pqB7mJONfsAOgW9h8XS,Añoranza,0.816,0.7609999999999999,196573,0.45399999999999996,0.0198,10,0.0554,-5.343999999999999,1,0.0426,125.01,4,0.961,34
Alestorm,1feU1Qz1GjZYxVFI8XmaAo,Actual Human Intro (Live at Summer Breeze 2015),0.000552,0.263,96560,0.6890000000000001,0.52,4,0.616,-9.769,0,0.0397,171.985,4,0.158,17
biosphere,2jXuSIAABsZMtTo3xERElJ,Distant Memories,0.858,0.693,107865,0.267,0.41200000000000003,0,0.0762,-12.481,1,0.0393,89.00200000000001,4,0.536,44
Borealis,4iBztub5YI4H6DRY3Rll7I,Sign of No Return,0.000891,0.38,305227,0.986,0.0,6,0.33,-2.8160000000000003,1,0.08900000000000001,130.025,4,0.107,27
DevTakeFlight,0Slc0HWapqGAb8odZpCXCE,Chase a Bag,0.0185,0.743,160630,0.474,0.0,1,0.135,-10.648,1,0.518,158.467,4,0.426,1
Frankk Finesse,5gpEdnCW3OZMii0Ajrg2pc,Signed Up,0.26899999999999996,0.619,235520,0.6920000000000001,0.0,5,0.0985,-7.9479999999999995,0,0.425,128.128,3,0.14400000000000002,12
Meditation Relaxation Club,63tH3DRN2llsKBZrgKfcQF,Quiet Rain,2.64e-05,0.16899999999999998,141893,0.873,0.97,10,0.377,-28.24,0,0.0456,159.39600000000002,5,0.0304,4
Pageants,68CcjsUbRVus2F1MlcvHTx,Cacti for Clothes,0.353,0.6,182907,0.779,0.158,0,0.10400000000000001,-8.142999999999999,1,0.0326,119.053,4,0.595,28
Renee Phoenix,6M0U7gdRX41PyoKbkE7SBt,Godless,0.009059999999999999,0.563,258000,0.8440000000000001,0.28300000000000003,6,0.306,-6.042999999999999,1,0.0395,140.003,4,0.626,25
Frédéric Chopin,6z2w5W2cbtVqvMWODeHWoY,"Mazurkas, Op. 24: No. 1 in G Minor",0.995,0.44299999999999995,169240,0.0487,0.9,7,0.0977,-25.464000000000002,0,0.053,129.41,3,0.0781,16
Graham Coxon,5l0kbVQh70H8AcmDavIFMJ,Lucifers Behind Me,0.215,0.58,184467,0.958,0.0037799999999999995,4,0.0705,-5.013,0,0.0752,180.02700000000002,4,0.7709999999999999,27
Saxon,1JgKgKCRWvqWttZf7nDUVP,Predator,0.000136,0.511,197920,0.96,0.00282,10,0.155,-5.087,0,0.0942,130.105,4,0.37799999999999995,31
Saxon,5Gs1r7byFl7y7WZ1tr1UIZ,Sons Of Odin,0.000455,0.52,322867,0.81,0.00119,11,0.10300000000000001,-4.76,1,0.0279,84.041,4,0.337,31
